iter	Passed	Remaining
934	2375	10329
935	2377	10322
936	2378	10315
937	2380	10307
938	2382	10303
939	2384	10299
940	2386	10292
941	2390	10296
942	2391	10290
943	2393	10283
944	2396	10281
945	2397	10275
946	2399	10268
947	2401	10266
948	2404	10265
949	2406	10260
950	2408	10253
951	2409	10246
952	2411	10240
953	2412	10232
954	2414	10226
955	2416	10222
956	2418	10215
957	2420	10212
958	2422	10206
959	2423	10200
960	2425	10194
961	2427	10187
962	2428	10180
963	2430	10175
964	2432	10169
965	2436	10175
966	2438	10171
967	2440	10165
968	2442	10160
969	2444	10154
970	2445	10147
971	2446	10140
972	2449	10137
973	2452	10135
974	2453	10129
975	2455	10125
976	2457	10119
977	2458	10112
978	2460	10105
979	2462	10099
980	2463	10094
981	2467	10096
982	2470	10093
983	2474	10098
984	2493	10165
985	2495	10158
986	2496	10151
987	2498	10143
988	2502	10149
989	2506	10150
990	2508	10147
991	2510	10142
992	2512	10137
993	2514	10132
994	2516	10127
995	2525	10150
996	2528	10150
997	2538	10180
998	2541	10178
999	2543	10174
1000	2545	10167
1001	2549	10173
1002	2555	10185
1003	2563	10201
1004	2564	10196
1005	2566	10191
1006	2572	10200
1007	2576	10203
1008	2579	10202
1009	2581	10199
1010	2583	10194
1011	2585	10189
1012	2590	10194
1013	2591	10187
1014	2593	10182
1015	2595	10178
1016	2598	10175
1017	2599	10169
1018	2601	10163
1019	2602	10156
1020	2605	10153
1021	2607	10147
1022	2611	10154
1023	2615	10156
1024	2617	10150
1025	2618	10142
1026	2620	10135
1027	2621	10128
1028	2623	10122
1029	2624	10117
1030	2632	10134
1031	2634	10128
1032	2635	10121
1033	2637	10115
1034	2639	10110
1035	2645	10123
1036	2647	10118
1037	2649	10111
1038	2650	10104
1039	2652	10098
1040	2653	10092
1041	2655	10086
1042	2657	10081
1043	2659	10078
1044	2661	10072
1045	2663	10066
1046	2664	10060
1047	2671	10072
1048	2672	10067
1049	2674	10061
1050	2689	10105
