Region,Year,Month,Energy
Sul,2009,April,5671556
Centro-Oeste,2009,April,2116832.8
Brasil,2008,April,31952656.29
Norte,2008,April,1888899
Nordeste,2008,April,5266621.29
Sudeste,2008,April,17284914
Sul,2008,April,5604344
Centro-Oeste,2008,April,1907878
Brasil,2007,April,32030744
Norte,2007,April,1832867
Nordeste,2007,April,5117947
Sudeste,2007,April,17761372
Sul,2007,April,5404659
Centro-Oeste,2007,April,1913899
Brasil,2006,April,29887953.009999998
Norte,2006,April,1733653.3900000001
Nordeste,2006,April,4856338.37
Sudeste,2006,April,16494218.43
Sul,2006,April,5062542.87
Centro-Oeste,2006,April,1741199.9499999997
Brasil,2005,April,29355501.910000008
Norte,2005,April,1651886.5100000002
Nordeste,2005,April,4675415.4799999995
Sudeste,2005,April,16304407.599999998
Sul,2005,April,4997008.14
Centro-Oeste,2005,April,1726784.1800000002
Brasil,2004,April,28046182.351
Norte,2004,April,1598862.11
Nordeste,2004,April,4461999.48
Sudeste,2004,April,15501322.96
Sul,2004,April,4873311.140000001
Centro-Oeste,2004,April,1610686.661
Brasil,2024,May,47038470.85999997
Norte,2024,May,3606561.2600000002
Nordeste,2024,May,8358661.739999998
Sudeste,2024,May,22864311.099999998
Sul,2024,May,8425185.92
Centro-Oeste,2024,May,3783750.840000001
Brasil,2023,May,43164881.79900002
Norte,2023,May,3393481.43
Nordeste,2023,May,7940968.289
Sudeste,2023,May,20584052.929999996
Sul,2023,May,7868683.14
Centro-Oeste,2023,May,3377696.0100000002
Brasil,2022,May,42050012.731000006
Norte,2022,May,3100010.501
Nordeste,2022,May,7269431.8500000015
Sudeste,2022,May,20788847.08
Sul,2022,May,7536736.120000001
Centro-Oeste,2022,May,3354987.18
Brasil,2021,May,40784637.999999985
Norte,2021,May,3053068.8200000003
Nordeste,2021,May,6974430.130000002
Sudeste,2021,May,19953594.76
Sul,2021,May,7579901.759999999
Centro-Oeste,2021,May,3223642.53
Brasil,2020,May,36129788.54010001
Norte,2020,May,2656714.05
Nordeste,2020,May,6362263.010000001
Sudeste,2020,May,17378115.140000004
Sul,2020,May,6672169.1400999995
Centro-Oeste,2020,May,3060527.2
Brasil,2019,May,40487228.46
Norte,2019,May,2688743.06
Nordeste,2019,May,7061639.58
Sudeste,2019,May,20187002.549999997
Sul,2019,May,7374881.39
Centro-Oeste,2019,May,3174961.88
Brasil,2018,May,39267849.54999999
Norte,2018,May,2666894.6700000004
Nordeste,2018,May,6660480.090000001
Sudeste,2018,May,19736423.810000006
Sul,2018,May,7190266.670000001
Centro-Oeste,2018,May,3013784.3099999996
Brasil,2017,May,38159955.32
Norte,2017,May,2934453
Nordeste,2017,May,6677706.97
Sudeste,2017,May,18885259.02
Sul,2017,May,6691196.25
Centro-Oeste,2017,May,2971340.08
Brasil,2016,May,38652561.57999999
Norte,2016,May,2862447
Nordeste,2016,May,6725406.93
Sudeste,2016,May,19303127.16
Sul,2016,May,6859486.78
Centro-Oeste,2016,May,2902093.71
Brasil,2015,May,38208982.339999996
Norte,2015,May,2718412
Nordeste,2015,May,6660375.949999999
Sudeste,2015,May,19296451.63
Sul,2015,May,6683610.3
Centro-Oeste,2015,May,2850132.46
Brasil,2014,May,39100499
Norte,2014,May,2707327
Nordeste,2014,May,6683419
Sudeste,2014,May,20068194
Sul,2014,May,6794930
Centro-Oeste,2014,May,2846629
Brasil,2013,May,38344861.57
Norte,2013,May,2454163.5700000003
Nordeste,2013,May,6660227
Sudeste,2013,May,19911821
Sul,2013,May,6613672
Centro-Oeste,2013,May,2704978
Brasil,2012,May,36810191.03
Norte,2012,May,2430160.15
Nordeste,2012,May,6436375
Sudeste,2012,May,19244538
Sul,2012,May,6141746.88
Centro-Oeste,2012,May,2557371
Brasil,2011,May,35565987.39
Norte,2011,May,2262894.39
Nordeste,2011,May,5899310
Sudeste,2011,May,18908980
Sul,2011,May,6147984
Centro-Oeste,2011,May,2346819
Brasil,2010,May,34296978
Norte,2010,May,2175440
Nordeste,2010,May,5959632
Sudeste,2010,May,18240192
Sul,2010,May,5730901
Centro-Oeste,2010,May,2190813
Brasil,2009,May,30945452.900000002
Norte,2009,May,1923559
Nordeste,2009,May,5189806
Sudeste,2009,May,16500151
Sul,2009,May,5266440
Centro-Oeste,2009,May,2065496.9000000001
Brasil,2008,May,32299963.39
Norte,2008,May,1933034
Nordeste,2008,May,5436907.39
Sudeste,2008,May,17577262
Sul,2008,May,5382338
Centro-Oeste,2008,May,1970422
Brasil,2007,May,31382917
Norte,2007,May,1889427
Nordeste,2007,May,5132742
Sudeste,2007,May,17290528
Sul,2007,May,5219841
Centro-Oeste,2007,May,1850379
Brasil,2006,May,28925038.559999995
Norte,2006,May,1753959.1899999997
Nordeste,2006,May,4793831.55
Sudeste,2006,May,15885834.52
Sul,2006,May,4807141
Centro-Oeste,2006,May,1684272.2999999998
Brasil,2005,May,28482150.609999996
Norte,2005,May,1689408.58
Nordeste,2005,May,4738600.68
Sudeste,2005,May,15581963.429999998
Sul,2005,May,4799820.58
Centro-Oeste,2005,May,1672357.34
Brasil,2004,May,27244506.479999993
Norte,2004,May,1625478.9200000002
Nordeste,2004,May,4423584.5200000005
Sudeste,2004,May,14906628.719999999
Sul,2004,May,4723026.16
Centro-Oeste,2004,May,1565788.16
Brasil,2024,June,0
Norte,2024,June,0
Nordeste,2024,June,0
Sudeste,2024,June,0
Sul,2024,June,0
Centro-Oeste,2024,June,0
Brasil,2023,June,42649622.92999998
Norte,2023,June,3375363.1399999997
Nordeste,2023,June,7727777.839999998
Sudeste,2023,June,20480714.120000005
Sul,2023,June,7697984.850000001
Centro-Oeste,2023,June,3367782.9799999995
Brasil,2022,June,40938867.979
Norte,2022,June,3120577.6099999994
Nordeste,2022,June,7021727.61
Sudeste,2022,June,19924574.97
Sul,2022,June,7594186.448999998
Centro-Oeste,2022,June,3277801.34
Brasil,2021,June,40428922.62999999
Norte,2021,June,3043949.37
Nordeste,2021,June,6994341.5600000005
Sudeste,2021,June,19751840.64
Sul,2021,June,7330462.949999998
Centro-Oeste,2021,June,3308328.1100000003
Brasil,2020,June,35774623.69999998
Norte,2020,June,2708916.2800000003
Nordeste,2020,June,6240148.050000001
Sudeste,2020,June,17315901.33
Sul,2020,June,6566358.790000001
Centro-Oeste,2020,June,2943299.2500000005
Brasil,2019,June,38448963.43000002
