Região,Ano,Mês,Energia
Brasil,2014,Março,40315392
Norte,2014,Março,2612667
Nordeste,2014,Março,6857552
Sudeste,2014,Março,20786600
Sul,2014,Março,7281924
Centro-Oeste,2014,Março,2776649
Brasil,2013,Março,38442191.55
Norte,2013,Março,2378191.55
Nordeste,2013,Março,6705944
Sudeste,2013,Março,19907218
Sul,2013,Março,6833953
Centro-Oeste,2013,Março,2616885
Brasil,2012,Março,38635573.72
Norte,2012,Março,2439658.4299999997
Nordeste,2012,Março,6407753
Sudeste,2012,Março,20243305
Sul,2012,Março,7026116.29
Centro-Oeste,2012,Março,2518741
Brasil,2011,Março,36350690.05
Norte,2011,Março,2235928.05
Nordeste,2011,Março,6026836
Sudeste,2011,Março,19390849
Sul,2011,Março,6435946
Centro-Oeste,2011,Março,2261131
Brasil,2010,Março,35116881.82
Norte,2010,Março,2107322.82
Nordeste,2010,Março,6118961
Sudeste,2010,Março,18521916
Sul,2010,Março,6199985
Centro-Oeste,2010,Março,2168697
Brasil,2009,Março,31977749.51
Norte,2009,Março,1882490
Nordeste,2009,Março,5391003
Sudeste,2009,Março,16931565
Sul,2009,Março,5742612
Centro-Oeste,2009,Março,2030079.51
Brasil,2008,Março,32118714.86
Norte,2008,Março,1900506
Nordeste,2008,Março,5365905.86
Sudeste,2008,Março,17293931
Sul,2008,Março,5723834
Centro-Oeste,2008,Março,1834538
Brasil,2007,Março,31312900
Norte,2007,Março,1820537
Nordeste,2007,Março,4985447
Sudeste,2007,Março,17288542
Sul,2007,Março,5424059
Centro-Oeste,2007,Março,1794315
Brasil,2006,Março,29897827.73
Norte,2006,Março,1741059.95
Nordeste,2006,Março,4976021.879999999
Sudeste,2006,Março,16273216.75
Sul,2006,Março,5211509.389999999
Centro-Oeste,2006,Março,1696019.7600000002
Brasil,2005,Março,28598631.508999996
Norte,2005,Março,1669597.5300000003
Nordeste,2005,Março,4692201.49
Sudeste,2005,Março,15516647.869999997
Sul,2005,Março,5069873.21
Centro-Oeste,2005,Março,1650311.409
Brasil,2004,Março,27284329.409999996
Norte,2004,Março,1574176.6900000002
Nordeste,2004,Março,4372743.11
Sudeste,2004,Março,14903795.679999998
Sul,2004,Março,4898770.4
Centro-Oeste,2004,Março,1534843.53
Brasil,2024,Abril,47337699.25999999
Norte,2024,Abril,3455924.38
Nordeste,2024,Abril,8354166.96
Sudeste,2024,Abril,22685707.968999997
Sul,2024,Abril,9077472.571
Centro-Oeste,2024,Abril,3764427.380000001
Brasil,2023,Abril,44884947.12999998
Norte,2023,Abril,3213742.59
Nordeste,2023,Abril,7809121.700000001
Sudeste,2023,Abril,21706203.680000003
Sul,2023,Abril,8645236.81
Centro-Oeste,2023,Abril,3510642.349999999
Brasil,2022,Abril,43210840.669999994
Norte,2022,Abril,2935305.7800000003
Nordeste,2022,Abril,7240387.709999999
Sudeste,2022,Abril,21718099.509999998
Sul,2022,Abril,7909914.340000001
Centro-Oeste,2022,Abril,3407133.33
Brasil,2021,Abril,42657441.68000001
Norte,2021,Abril,2986817.7800000003
Nordeste,2021,Abril,7205497.630000001
Sudeste,2021,Abril,21061906.689999998
Sul,2021,Abril,8114934.320000001
Centro-Oeste,2021,Abril,3288285.26
Brasil,2020,Abril,37272076.859999985
Norte,2020,Abril,2629850.4
